"product_name","product_description","brand_name","product_category"
"Diesel tank, transportable, 200 l","Strong diesel tank that safely and cleanly handles and stores diesel for agricultural machinery, forestry machinery and construction machinery. With a moulded splash plate and fork bushings for forklift handling, the container is both practical and simple to move. The tank can be used both indoors or outdoors and the pump connects to a 12 V vehicle battery with crocodile clips.Equipment:Self-priming wing pump and pump handle with automatic shut-off.Lockable lid (padlock not included).Hose with pressed swivel connectors and filter strainer inside the tank.Fuel gauge that shows the current level in the tankNOTE! For diesel only!","LUK","Accessories"
"Petrol Can, ethanol, 5 l","Strong and practical plastic petrol can. Intended for or ethanol (E85). With carry handle and flexible extension pipe.","Hella","Accessories"
"Jerry Can, 10 l","Classic army model in painted sheet steel. With rustproofed interior. Suitable for petrol, diesel, ethanol and oil. UN-certified.","Behr Hella Service","Accessories"
"Refill Nozzle","Sheet steel refill nozzle with flexible rubber spout. For jerry cans. With rubber gaskets to prevent leakage. Fits items 39-102, 39-103.","AP Racing","Accessories"
"Flat Fuel Can, 10 l","Flat petrol can in red-painted sheet metal. Stands stably thanks to the flat design and low centre of mass.  Plastic spout (30 cm) included. Air hole for faster emptying. Suitable for petrol, diesel, ethanol and oil. UN-certified.","Ferodo","Accessories"
"Jerry Can Pump","Pump for convenient, spill-free fuel refilling from heavy fuel cans. Hose length: 1000/460 mm. Fits Biltema's jerry cans 39-102 and 39-103.","BorgWarner","Accessories"
"Jerry can gasket","Gasket suitable for Jerry Can 39-102 and 39-103.","Pierburg","Accessories"
"Full Cover, 406 x 165 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.","AP Racing","Accessories"
"Full Cover, 535 x 178 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.","LUK","Accessories"
"Sun and Snow Shield, 82 x 168 cm","A padded protection for the windscreen which effectively reflects and insulates against sun and heat in the summer and prevents ice accumulation in the winter. Stored rolled up. Place the protection on the front windscreen with the foil side outwards. Open the door and fix the protection between the door and door post.","WABCO","Accessories"
"Full Cover, 485 x 178 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.","Magna International","Accessories"
"Full cover, indoors, 485 x 178 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.","GKN Driveline","Accessories"
"Full Cover, 485 x 178 x 124 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.","Bosal","Accessories"
"Full Cover, 435 x 165 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.","INA","Accessories"
"Full cover, indoors, 406 x 165 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.","Brembo","Accessories"
"Full cover, indoors, 535 x 178 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.","Brembo","Accessories"
"Full cover, indoors, 435 x 165 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.","ATE","Accessories"
"Full cover, indoors, 485 x 178 x 124 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.","Ferodo","Accessories"
"Car Top Cover, polyester, 295 x 180 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.","Magna International","Accessories"
"Car Top Cover, polyester, 240 x 190 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.","Tenneco","Accessories"
"Car Top Cover, polyester, 270 x 180 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.","Faurecia","Accessories"
"Car Top Cover, polyester, 255 x 190 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.","ElringKlinger","Accessories"
"Tyre Valves TR414, 50-pack","Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.","SKF","Accessories"
"Tyre Valves TR412, 50-pack","Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.","Hella","Accessories"
"Valve caps, Black aluminum, 4-pack","Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.","GKN Driveline","Accessories"
"Valve caps, Aluminium, 4-pack","Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.","FAG","Accessories"
"Valve caps, Diamond, 4-pack","Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.","GKN Driveline","Accessories"
"Valve caps, Hand grenade, 4-pack","Plastic valve caps with inserts which prevent the caps from sticking to the threads due to corrosion.","Mann+Hummel","Accessories"
"Valve caps, Skull, 4-pack","Plastic valve caps with inserts which prevent the caps from sticking to the threads due to corrosion.","Knorr-Bremse","Accessories"
"Oil filters","OE: 6111800009","WABCO","Parts"
"Soundproofing mat, 1000 x 500 x 30 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","Faurecia","Accessories"
"Soundproofing mat, 1000 x 500 x 20 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","Febi Bilstein","Accessories"
"Soundproofing mat, 1000 x 500 x 10 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","Mahle","Accessories"
"Soundproofing sheet, 460 x 820 mm, 2 pcs","Thin and malleable soundproofing sheet made from butyl and aluminium. Easy to apply with excellent sound insulation properties. Self-adhesive for applying to e.g. doors, ceilings, car boots. Also suitable for insulating sound from other things at home such as speaker boxes, computers, washing machines, etc.","LemfÃ¶rder","Accessories"
"Melt foil, Bitumen 4 pcs","Self-adhesive Bitumen-panels (asphalt rubber) for vibration and noise suppression. For efficient suppression of resonance and vibration noise in the car's wheel housing, chassis, etc. Easy to form against the substrate with the aid of a heat gun. Can also be applied in strips. For best effect at least 1/3 of the substrate must be covered. Can be overpainted.","Behr Hella Service","Accessories"
"Sound blanket, 1000 x 2000 mm","Suitable as sound insulating material. Can be glued to surfaces. Use strong cutters/scissors to cut to size. Suitable for placing under mats and other interior upholstery.","TRW Lucas","Accessories"
"Soundproofing mat, 500 x 400 x 20 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","ElringKlinger","Accessories"
"Soundproofing mat, 500 x 400 x 10 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","Continental","Accessories"
"Sound insulating mat, 1000 x 500 mm","Foam plastic Reduces the volume by approx 40 dB. Can be glued in position. Fulfils the requirements in the Recreational Craft Directive 94/25 EC ISO 3795.","FAG","Accessories"
"Noise insulation board, Bitumen, 500 x 1000 mm","Self-adhesive for vibration insulation of cars, boats, domestic appliances, heat pumps, etc. For best effect at least 1/3 of the surface should be covered.","Behr Hella Service","Accessories"
"Soundproofing mat, 500 x 400 x 30 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.","Delphi Technologies","Accessories"
"First Aid bag, de luxe","In a practical nylon bag. With wrapped bandages per the 1–2–3 system: for small wounds, for large wounds and for major wounds. Additionally there is a breathing mask, blanket, elastic gauze, scissors, safety gloves, safety pins, triangular bandage, metal pincers, plasters, instructional folder for ABC help.","INA","Accessories"
"Warning triangle","The reflector is made of highly reflective red plastic, and the inner section of fluorescent plastic. Comes in a practical plastic box with a metal stand. E-marked.","LemfÃ¶rder","Accessories"
"LED Warning Light","Battery-powered rotating warning light with 9 flashing patterns and warning modes, including SOS, full red light and white light. Can be easily mounted with the strong magnet or hanging hook. Powered by 3 x AAA batteries (not included). Water-resistant and impact-resistant.","Continental","Accessories"
"First Aid pouch, mini","In a small, practical nylon bag that fits easily under the saddle.Contents:4 Cleansing wipes2 Dry wipes1 Wound dressing1 Respiratory protection1 Rescue blanket2 Compresses1 Scissors1 pair safety gloves1 Triangular bandage12 Plasters2 Blister plasters2 Burn relief gelInstruction folder for Breathing Wound Shock assistance.","Hella","Accessories"
"First aid kit","Small, waterproof package containing the most necessary items in the event of an accident. Easy to carry with you in the forest, on boats, in cars, prams or on holiday.Contents:1 survival blanket5 plasters2 compression bandages, 2-pack, 5 x 5 cm1 pair of scissors3 wet wipes3 sterile wipes1 roll of surgical tape1 pair of latex-free gloves2 gauze bandage rolls, 7.5 cm x 4 m","Bilstein","Accessories"
"Steering Wheel Lock","Heavy duty steering wheel lock with double hooks on both sides which, when properly positioned, makes it impossible to cut through. Two keys included. The lock fits most types of steering wheel which have a maximum inner diameter of 380 mm Vinyl-covered steel to avoid damage to the steering wheel.","Tenneco","Accessories"
"Life hammer","For emergency situations. The hammer is used in emergency situations to cut off seat belts and smash windows.","Bosal","Accessories"
"Warning light bracket","Angled holder with connection cables for voltage supply.","Hella","Accessories"
"Traffic Cone","Orange plastic marker cone. Used for e.g. marking temporary obstructions or road closures, and in driving lessons and manoeuvring tests.","Ruville","Accessories"
"Aluminium blanket, 140 x 220 cm","Good to have with you when trekking and having other outdoor adventures as well as in the car. Wrap it round the body to reflect the body warmth back, for example when someone is suffering from hypothermia or in shock. Can also be used for animals. Small-sized package, easy to carry around in your rucksack. Material: Aluminium-coated polythene.Warning! Flammable product, keep it away from naked flames. Do not cover the face with the product as it may cause suffocation.","Pierburg","Accessories"
"Dog On Board Sticker","Sticker for pasting in a suitable place to show other road users that you have a dog in the car.","Dayco","Accessories"
"Warning triangle","Comes in a practical plastic case. The reflector is made from highly reflective red plastic, and the inner part from fluorescent plastic. Steel frame. E-marked.","VDO","Accessories"
"Snow Stakes, 6-pack","Snow stakes with reflectors that is placed along roads to mark driving routes in the dark, increase road safety or to facilitate ploughing.","Bosal","Accessories"
"Lockable tank cap","Effectively prevents petrol theft. Supplied with two symmetric keys.","Tenneco","Accessories"
"Universal Tank Cap","Emergency tank cap for temporary use. Plastic.","ZF Friedrichshafen","Accessories"
"Ice Scraper","Made of impact-resistant plastic, fitted with comfortable rubber handle.","Knorr-Bremse","Accessories"
"Ice Scraper Glove","Keep your hands warm with this warm, protective ice scraper glove.","TRW Automotive","Accessories"
"Ice Scraper","Plastic.","ZF Friedrichshafen","Accessories"
"Ice Scraper Glove","Warm, protective glove. Waterproof with warm fleece lining. Elasticised cuff – keeps out snow, wind and cold.","Valeo","Accessories"
"Engine heater cell","An efficient hose heater with 0.5 m cable. For hose connection. Hose clamps supplied. Manufactured in Sweden. Can only be combined with Biltema's engine and cabin heating systems as follows: Connector Cable 40-202 or 40-203, Extension Cable 40-204 - 40-206 and Multi-Socket 40-207.The engine block heater affects the coolant inside the block, which is heated up and begins to circulate. For maximal temperature to be obtained, the heater only needs to be connected for 3-4 hours. Prolonged connection will increase electricity costs. Warning: the heating element must be covered in coolant.","BorgWarner","Accessories"
"Engine heater cable compatible with Calix, 2.5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","Mahle","Accessories"
"Engine heater cable compatible with DEFA, 2,5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","GKN Driveline","Accessories"
"Connection cable","Shielded, plug-in type. Round connector socket. Can be combined with Biltema's engine and cabin heating systems as follows: Engine Block Heater Cable 40-200 or 40-201, Extension Cable 40-204 - 40-206, Multi-Socket 40-207, Cabin Socket 40-208, Engine Heating Element 38-824 - 38-825 and Engine Heating Element 40-209 - 40-212.1.0 m","Magneti Marelli","Accessories"
"Connection Cord 2.5 m","Oil-resistant RDO cable. Plastic-clad plug and round socket. Can only be combined with Connector Cable 40-372 or 40-373.","Faurecia","Accessories"
"Connection Cord 5 m","Oil-resistant RDO cable. Plastic-clad plug and round socket. Can only be combined with Connector Cable 40-372 or 40-373.","LUK","Accessories"
"Connector cable 1 m","Shielded, plug-in type. Round connector socket. Can be combined with Biltema’s engine and cabin heating systems as follows: Engine Heater Cable 40-370 or 40-371, Extension Cable 40-376, Multi-Socket 40-377, Cabin Socket 40-378, and Hose Heater 40-379 and 40-380.","ATE","Accessories"
"Connector cable 1.5 m","Shielded, plug-in type. Round connector socket. Can be combined with Biltema’s engine and cabin heating systems as follows: Engine Heater Cable 40-370 or 40-371, Extension Cable 40-376, Multi-Socket 40-377, Cabin Socket 40-378, and Hose Heater 40-379 and 40-380.","Mahle","Accessories"
"Oil filters","OE: 5022955","TRW Lucas","Parts"
"Connector Cable Mounting Plate","Black galvanised steel plate for mounting connector cables from Biltema 40-202, 40-203. Fitting screws included.","BorgWarner","Accessories"
"Engine heater cable","Oil-resistant RDO cable. Plastic-clad plug and around the connection socket. Can only be combined with Biltema's engine and cabin heating systems as follows: Connector Cable 40-202 or 40-203.2.5 m","WABCO","Accessories"
"Engine heater cable compatible with Calix, 2.5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","Bilstein","Accessories"
"Engine heater cable compatible with Calix, 5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","Pierburg","Accessories"
"Engine heater cable compatible with Calix, 5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","Valeo Service","Accessories"
"Engine heater cable compatible with DEFA, 2,5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","Bosch","Accessories"
"Engine heater cable compatible with DEFA, 5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","NGK Spark Plug","Accessories"
"Engine heater cable compatible with DEFA, 5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems","SKF","Accessories"
"Extension cable","Plug-in type. Suitable for use with Biltema's engine and cabin warm-up systems.1.5 m","Ferodo","Accessories"
"Car boot bag","Practical fold-up liner made of heavy duty, dirt-repellent needle loom felt. Suitable for car boots. Attaches with hook-and-loop fasteners/push studs (included).  Dimensions (open): 50 x 15 x 20 cm.","AP Racing","Interior"
"Hose heater 16 and 20 mm","An efficient hose heater with 0.25 m cable. The heater has a heating element and water chamber with inlet and outlet for 16 and 20 mm hose diameters. Output 500 W. Hose clamps supplied. Manufactured in Sweden. Can only be combined with Biltema's engine and cabin heating systems as follows: Connector Cable 40-202 or 40-203, Extension Cable 40-204 - 40-206 and Multi-Socket 40-207. Warning! The heating element must be covered in coolant.20 mm","BorgWarner","Accessories"
"Hose heater 32 mm","Effective hose heater with 0.5 m cable for hose connection. Hose clamps supplied. Made in Sweden. Warning! The heating element must be covered in coolant. Can only be combined with Connector Cable 40-372 or 40-373, Extension Cable 40-376, and Multi-Socket 40-377.","Magna International","Accessories"
"Hose heater 34 mm","Effective hose heater with 0.5 m cable for hose connection. Hose clamps supplied. Made in Sweden. Warning! The heating element must be covered in coolant. Can only be combined with Connector Cable 40-372 or 40-373, Extension Cable 40-376, and Multi-Socket 40-377.","SKF","Accessories"
"Multi-Socket","Suitable for use with Biltema's engine and cabin warm-up systems.","Bilstein","Accessories"
"Extension cable 1.5 m","Plug-in type. Suitable for use with Biltema’s engine and cabin heating systems.","GKN Driveline","Accessories"
"Multi-sockets","Suitable for use with Biltema's engine and cabin warm-up systems.","Mann+Hummel","Accessories"
"Snow Brush/Ice Scraper","Combined snow brush, rubber scraper, and ice scraper. With telescopic shaft in aluminium and two rubber handles.","ZF Friedrichshafen","Accessories"
"Snow Brush & Scraper","Snow brush with integrated scraper for effectively removing snow and ice. Two handles – one rubber handle and one with finger holes. Made of strong plastic with stiff synthetic bristles.","Tenneco","Accessories"
"Tyre Traction Aid, 10 pcs.","Practical, disposable traction aid that gives tyres better grip on slippery surfaces, ice, snow and clay. For fitting to the driving wheels, five per wheel. Cut ends after mounting. Only for use at low speed. Made of nylon.","INA","Accessories"
"Anti-slip Treads, 2 pcs.","Useful for when stuck in slush ice or mud. Position the anti-slip tread under the car's drive wheel for better traction. Easy and convenient to carry in the car. Several pieces can be connected together. Avoid unnecessary strain on the car's transmission. Made of cold and wear resistant propylene plastic (-30 °C).","TRW Automotive","Accessories"
"Snow chains, 2 pcs","Quick and easy to fit. Can be fitted without needing to move the car. With automatic locking device. Made of square profile chain link. Sold in pairs. Mounting instructions supplied. The product complies with standards PPP 50003:2005 and ÖNORM V 5117:2004.Fits tyre size:14650R14205R14215/70R14225/70R14235/60R14245/60R14255/55R1415195R15205/70R15205/75R15215/65R15215/70R15225/60R15225/65R15230/60R15235/55R1516195/70R16205/65R16215/60R16225/55R16235/50R16245/45R16600R1617215/55R17225/50R17235/45R17245/40R17255/40R1718225/45R18235/40R18255/35R1819225/40R19220/65 x 390240/55 x 390","Behr Hella Service","Accessories"
"Snow Chain for ST11002","Snow chains with spikes. Fits art. 17-546 and other vehicles with tyre dimensions 15x6,50-7","Ferodo","Accessories"
"Snow chains, 2 pcs","Quick and easy to fit. Can be fitted without needing to move the car. With automatic locking device. Made of square profile chain link. Sold in pairs. Mounting instructions supplied. The product complies with standards PPP 50003:2005 and ÖNORM V 5117:2004.Fits tyre size:12600R1213185/80R13195/70R13205/65R13215/60R1314175R14175/75R14175/80R14185/70R14195/65R14205/55R14205/60R14245/40R1415165/80R15175/70R15185/60R15185/65R15195/55R 15195/60R15205/50R1516165/65R16185/55R16195/50R16205/45R16215/40R1617205/40R17180/65 x 390200/55 x 390200/60 x 365200/65 x 340210/50 x 365210/55 x 365220/50 x 365","LemfÃ¶rder","Accessories"
"Snow chains, 2 pcs","Quick and easy to fit. Can be fitted without needing to move the car. With automatic locking device. Made of square profile chain link. Sold in pairs. Mounting instructions supplied. The product complies with standards PPP 50003:2005 and ÖNORM V 5117:2004.Fits tyre size:13185R13290R13600R13205/70R1314185R14185/75R14185/80R14195/70R14205/65R14215/60R14215/65R14225/55R14560R1415165R15175R15175/80R15185/70R15195/65R15200/60R15205/55R15205/60R15215/50R15215/55R15225/50R1516165R16185/65R16195/55R16195/60R16205/50R16215/45R16215/50R16225/45R1617185/60R17205/45R17215/40R17225/40R17190/65 x 390200/60 x 390210/55 x 390210/65 x 365220/50 x 365","SKF","Accessories"
"Snow Chains, wide, pair","Quick and easy to fit. Can be fitted without needing to move the car. With automatic locking device. Made of square profile chain link. Sold in pairs. Mounting instructions supplied. Link thickness: 4.4 mm. Cable thickness: 6 mm.  The product complies with standards PPP 50003:2005 and ÖNORM V 5117:2004.Fits tyre size:14215/75R14225/70R14700R1415215/70R15225/65R15235/60R1516195/75R16205/70R16215/65R16225/60R16235/55R16640R1617225/50R17225/55R17235/50R17245/45R1718245/40R18220/65 x 390","ATE","Accessories"
