Name,Description,Price,Img,Category
"Flat Fuel Can, 10 l","Flat petrol can in red-painted sheet metal. Stands stably thanks to the flat design and low centre of mass.  Plastic spout (30 cm) included. Air hole for faster emptying. Suitable for petrol, diesel, ethanol and oil. UN-certified.",159,https://productimages.biltema.com/v1/image/imagebyfilename/39-110_xl_1.jpg,Car Accessories
Jerry Can Pump,"Pump for convenient, spill-free fuel refilling from heavy fuel cans. Hose length: 1000/460 mm. Fits Biltema's jerry cans 39-102 and 39-103.",109,https://productimages.biltema.com/v1/image/imagebyfilename/39-105_xl_1.jpg,Car Accessories
Jerry can gasket,Gasket suitable for Jerry Can 39-102 and 39-103.,14.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-164_xl_1.jpg,Car Accessories
"Full Cover, 406 x 165 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.",349,https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg,Car Accessories
"Full Cover, 535 x 178 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.",349,https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg,Car Accessories
"Sun and Snow Shield, 82 x 168 cm",A padded protection for the windscreen which effectively reflects and insulates against sun and heat in the summer and prevents ice accumulation in the winter. Stored rolled up. Place the protection on the front windscreen with the foil side outwards. Open the door and fix the protection between the door and door post.,29.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-502_xl_1.jpg,Car Accessories
"Full Cover, 485 x 178 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.",349,https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg,Car Accessories
"Full cover, indoors, 485 x 178 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.",199,https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg,Car Accessories
"Full Cover, 485 x 178 x 124 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.",369,https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg,Car Accessories
"Full Cover, 435 x 165 x 120 cm","Four-layered cover that is UV-resistant and breathable. Made of non-woven material and PE. Protects the car from sunlight, dirt, frost and snow. Remains soft and flexible even in the winter. With elasticised front and back edges and elastic strap with buckle.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below. Clean with a damp cloth.",349,https://productimages.biltema.com/v1/image/imagebyfilename/37-267_xl_1.jpg,Car Accessories
"Full cover, indoors, 406 x 165 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.",199,https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg,Car Accessories
"Full cover, indoors, 535 x 178 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.",239,https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg,Car Accessories
"Full cover, indoors, 435 x 165 x 120 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.",199,https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg,Car Accessories
"Full cover, indoors, 485 x 178 x 124 cm","Thin cover made from non-woven material that protects vehicles indoors. The material is breathable and protects the vehicle from dust, dirt, scratches and UV radiation. With elasticised edges, and strap and buckle. For indoor use.",239,https://productimages.biltema.com/v1/image/imagebyfilename/39-508_xl_1.jpg,Car Accessories
"Car Top Cover, polyester, 295 x 180 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.",169,https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg,Car Accessories
"Car Top Cover, polyester, 240 x 190 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.",169,https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg,Car Accessories
"Car Top Cover, polyester, 270 x 180 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.",169,https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg,Car Accessories
"Car Top Cover, polyester, 255 x 190 x 45 cm","Keeps windows free of ice and hoarfrost. Anti-moisture treated. Remains soft and flexible even in the winter. Fastens to the car's bumpers/valances with 4 elastic straps and plastic hooks.For long-term storage, keep in mind that exposure to direct sunlight, rain and wind can affect and change the material in the covering. Dirt and water may enter from below.",169,https://productimages.biltema.com/v1/image/imagebyfilename/37-274_xl_1.jpg,Car Accessories
"Tyre Valves TR414, 50-pack",Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.,135,https://productimages.biltema.com/v1/image/imagebyfilename/33-980_xl_1.jpg,Car Accessories
"Tyre Valves TR412, 50-pack",Rubber valves for tubeless tyres. Made of EPDM rubber. Max. 4.5 bar at +20 °C.,145,https://productimages.biltema.com/v1/image/imagebyfilename/33-084_xl_1.jpg,Car Accessories
"Valve caps, Black aluminum, 4-pack",Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.,29.90,https://productimages.biltema.com/v1/image/imagebyfilename/30-239_xl_1.jpg,Car Accessories
"Valve caps, Aluminium, 4-pack",Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.,26.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-4310_xl_1.jpg,Car Accessories
"Valve caps, Diamond, 4-pack",Aluminium valve caps with plastic inserts which prevent the caps from sticking to the threads due to corrosion.,34.90,https://productimages.biltema.com/v1/image/imagebyfilename/30-255_xl_1.jpg,Car Accessories
"Valve caps, Hand grenade, 4-pack",Plastic valve caps with inserts which prevent the caps from sticking to the threads due to corrosion.,29.90,https://productimages.biltema.com/v1/image/imagebyfilename/30-211_xl_1.jpg,Car Accessories
"Valve caps, Skull, 4-pack",Plastic valve caps with inserts which prevent the caps from sticking to the threads due to corrosion.,14.90,https://productimages.biltema.com/v1/image/imagebyfilename/30-212_xl_1.jpg,Car Accessories
"Soundproofing mat, 1000 x 500 x 30 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",169,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"Soundproofing mat, 1000 x 500 x 20 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",139,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"Soundproofing mat, 1000 x 500 x 10 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",119,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"Soundproofing sheet, 460 x 820 mm, 2 pcs","Thin and malleable soundproofing sheet made from butyl and aluminium. Easy to apply with excellent sound insulation properties. Self-adhesive for applying to e.g. doors, ceilings, car boots. Also suitable for insulating sound from other things at home such as speaker boxes, computers, washing machines, etc.",269,https://productimages.biltema.com/v1/image/imagebyfilename/36-9225_xl_1.jpg,Car Accessories
"Melt foil, Bitumen 4 pcs","Self-adhesive Bitumen-panels (asphalt rubber) for vibration and noise suppression. For efficient suppression of resonance and vibration noise in the car's wheel housing, chassis, etc. Easy to form against the substrate with the aid of a heat gun. Can also be applied in strips. For best effect at least 1/3 of the substrate must be covered. Can be overpainted.",179,https://productimages.biltema.com/v1/image/imagebyfilename/36-9213_xl_1.jpg,Car Accessories
"Sound blanket, 1000 x 2000 mm",Suitable as sound insulating material. Can be glued to surfaces. Use strong cutters/scissors to cut to size. Suitable for placing under mats and other interior upholstery.,159,https://productimages.biltema.com/v1/image/imagebyfilename/36-9222_xl_1.jpg,Car Accessories
"Soundproofing mat, 500 x 400 x 20 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"Soundproofing mat, 500 x 400 x 10 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"Sound insulating mat, 1000 x 500 mm",Foam plastic Reduces the volume by approx 40 dB. Can be glued in position. Fulfils the requirements in the Recreational Craft Directive 94/25 EC ISO 3795.,279,https://productimages.biltema.com/v1/image/imagebyfilename/36-9220_xl_1.jpg,Car Accessories
"Noise insulation board, Bitumen, 500 x 1000 mm","Self-adhesive for vibration insulation of cars, boats, domestic appliances, heat pumps, etc. For best effect at least 1/3 of the surface should be covered.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/36-9211_xl_1.jpg,Car Accessories
"Soundproofing mat, 500 x 400 x 30 mm","For cars, boats, caravans, etc. Made of foam plastic. Outer layer of aluminium-coated polyester foil with self-adhesive reverse side. Effectively insulates sound and heat from engines, transmissions, and chassis. Withstands temperatures between -30 °C to +120 °C. ISO 3795.",79.90,https://productimages.biltema.com/v1/image/imagebyfilename/36-9214_xl_1.jpg,Car Accessories
"First Aid bag, de luxe","In a practical nylon bag. With wrapped bandages per the 1–2–3 system: for small wounds, for large wounds and for major wounds. Additionally there is a breathing mask, blanket, elastic gauze, scissors, safety gloves, safety pins, triangular bandage, metal pincers, plasters, instructional folder for ABC help.",149,https://productimages.biltema.com/v1/image/imagebyfilename/39-558_xl_1.jpg,Car Accessories
Warning triangle,"The reflector is made of highly reflective red plastic, and the inner section of fluorescent plastic. Comes in a practical plastic box with a metal stand. E-marked.",39.90,https://productimages.biltema.com/v1/image/imagebyfilename/38-206_xl_1.jpg,Car Accessories
LED Warning Light,"Battery-powered rotating warning light with 9 flashing patterns and warning modes, including SOS, full red light and white light. Can be easily mounted with the strong magnet or hanging hook. Powered by 3 x AAA batteries (not included). Water-resistant and impact-resistant.",69.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-564_xl_1.jpg,Car Accessories
"First Aid pouch, mini","In a small, practical nylon bag that fits easily under the saddle.Contents:4 Cleansing wipes2 Dry wipes1 Wound dressing1 Respiratory protection1 Rescue blanket2 Compresses1 Scissors1 pair safety gloves1 Triangular bandage12 Plasters2 Blister plasters2 Burn relief gelInstruction folder for Breathing Wound Shock assistance.",105,https://productimages.biltema.com/v1/image/imagebyfilename/39-552_xl_1.jpg,Car Accessories
First aid kit,"Small, waterproof package containing the most necessary items in the event of an accident. Easy to carry with you in the forest, on boats, in cars, prams or on holiday.Contents:1 survival blanket5 plasters2 compression bandages, 2-pack, 5 x 5 cm1 pair of scissors3 wet wipes3 sterile wipes1 roll of surgical tape1 pair of latex-free gloves2 gauze bandage rolls, 7.5 cm x 4 m",149,https://productimages.biltema.com/v1/image/imagebyfilename/50-070_xl_1.jpg,Car Accessories
Steering Wheel Lock,"Heavy duty steering wheel lock with double hooks on both sides which, when properly positioned, makes it impossible to cut through. Two keys included. The lock fits most types of steering wheel which have a maximum inner diameter of 380 mm Vinyl-covered steel to avoid damage to the steering wheel.",94.90,https://productimages.biltema.com/v1/image/imagebyfilename/43-113_xl_1.jpg,Car Accessories
Life hammer,For emergency situations. The hammer is used in emergency situations to cut off seat belts and smash windows.,59.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-555_xl_1.jpg,Car Accessories
Warning light bracket,Angled holder with connection cables for voltage supply.,64.90,https://productimages.biltema.com/v1/image/imagebyfilename/38-738_xl_1.jpg,Car Accessories
Traffic Cone,"Orange plastic marker cone. Used for e.g. marking temporary obstructions or road closures, and in driving lessons and manoeuvring tests.",32.90,https://productimages.biltema.com/v1/image/imagebyfilename/39-561_xl_1.jpg,Car Accessories
"Aluminium blanket, 140 x 220 cm","Good to have with you when trekking and having other outdoor adventures as well as in the car. Wrap it round the body to reflect the body warmth back, for example when someone is suffering from hypothermia or in shock. Can also be used for animals. Small-sized package, easy to carry around in your rucksack. Material: Aluminium-coated polythene.Warning! Flammable product, keep it away from naked flames. Do not cover the face with the product as it may cause suffocation.",19.90,https://productimages.biltema.com/v1/image/imagebyfilename/40-182_xl_1.jpg,Car Accessories
Dog On Board Sticker,Sticker for pasting in a suitable place to show other road users that you have a dog in the car.,34.90,https://productimages.biltema.com/v1/image/imagebyfilename/46-410_xl_1.jpg,Car Accessories
Warning triangle,"Comes in a practical plastic case. The reflector is made from highly reflective red plastic, and the inner part from fluorescent plastic. Steel frame. E-marked.",34.90,https://productimages.biltema.com/v1/image/imagebyfilename/38-200_xl_1.jpg,Car Accessories
"Snow Stakes, 6-pack","Snow stakes with reflectors that is placed along roads to mark driving routes in the dark, increase road safety or to facilitate ploughing.",79.90,https://productimages.biltema.com/v1/image/imagebyfilename/14-624_xl_1.jpg,Car Accessories
Lockable tank cap,Effectively prevents petrol theft. Supplied with two symmetric keys.,119,https://productimages.biltema.com/v1/image/imagebyfilename/33-563_xl_1.jpg,Car Accessories
Universal Tank Cap,Emergency tank cap for temporary use. Plastic.,19.90,https://productimages.biltema.com/v1/image/imagebyfilename/33-591_xl_1.jpg,Car Accessories
Ice Scraper,"Made of impact-resistant plastic, fitted with comfortable rubber handle.",34.90,https://productimages.biltema.com/v1/image/imagebyfilename/37-422_xl_1.jpg,Car Accessories
Ice Scraper Glove,"Keep your hands warm with this warm, protective ice scraper glove.",26.90,https://productimages.biltema.com/v1/image/imagebyfilename/37-453_xl_1.jpg,Car Accessories
Ice Scraper,Plastic.,14.90,https://productimages.biltema.com/v1/image/imagebyfilename/37-450_xl_1.jpg,Car Accessories
Ice Scraper Glove,"Warm, protective glove. Waterproof with warm fleece lining. Elasticised cuff – keeps out snow, wind and cold.",22.90,https://productimages.biltema.com/v1/image/imagebyfilename/37-451_xl_1.jpg,Car Accessories
Engine heater cell,"An efficient hose heater with 0.5 m cable. For hose connection. Hose clamps supplied. Manufactured in Sweden. Can only be combined with Biltema's engine and cabin heating systems as follows: Connector Cable 40-202 or 40-203, Extension Cable 40-204 - 40-206 and Multi-Socket 40-207.The engine block heater affects the coolant inside the block, which is heated up and begins to circulate. For maximal temperature to be obtained, the heater only needs to be connected for 3-4 hours. Prolonged connection will increase electricity costs. Warning: the heating element must be covered in coolant.",179,https://productimages.biltema.com/v1/image/imagebyfilename/40-209_xl_1.jpg,Car Accessories
"Engine heater cable compatible with Calix, 2.5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",129,https://productimages.biltema.com/v1/image/imagebyfilename/40-213_xl_1.jpg,Car Accessories
"Engine heater cable compatible with DEFA, 2,5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",129,https://productimages.biltema.com/v1/image/imagebyfilename/40-213_xl_1.jpg,Car Accessories
Connection cable,"Shielded, plug-in type. Round connector socket. Can be combined with Biltema's engine and cabin heating systems as follows: Engine Block Heater Cable 40-200 or 40-201, Extension Cable 40-204 - 40-206, Multi-Socket 40-207, Cabin Socket 40-208, Engine Heating Element 38-824 - 38-825 and Engine Heating Element 40-209 - 40-212.1.0 m",99.50,https://productimages.biltema.com/v1/image/imagebyfilename/40-203_xl_1.jpg,Car Accessories
Connection Cord 2.5 m,Oil-resistant RDO cable. Plastic-clad plug and round socket. Can only be combined with Connector Cable 40-372 or 40-373.,199,https://productimages.biltema.com/v1/image/imagebyfilename/40-200_xl_1.jpg,Car Accessories
Connection Cord 5 m,Oil-resistant RDO cable. Plastic-clad plug and round socket. Can only be combined with Connector Cable 40-372 or 40-373.,249,https://productimages.biltema.com/v1/image/imagebyfilename/40-200_xl_1.jpg,Car Accessories
Connector cable 1 m,"Shielded, plug-in type. Round connector socket. Can be combined with Biltema’s engine and cabin heating systems as follows: Engine Heater Cable 40-370 or 40-371, Extension Cable 40-376, Multi-Socket 40-377, Cabin Socket 40-378, and Hose Heater 40-379 and 40-380.",249,https://productimages.biltema.com/v1/image/imagebyfilename/40-203_xl_1.jpg,Car Accessories
Connector cable 1.5 m,"Shielded, plug-in type. Round connector socket. Can be combined with Biltema’s engine and cabin heating systems as follows: Engine Heater Cable 40-370 or 40-371, Extension Cable 40-376, Multi-Socket 40-377, Cabin Socket 40-378, and Hose Heater 40-379 and 40-380.",269,https://productimages.biltema.com/v1/image/imagebyfilename/40-203_xl_1.jpg,Car Accessories
Connector Cable Mounting Plate,"Black galvanised steel plate for mounting connector cables from Biltema 40-202, 40-203. Fitting screws included.",42.90,https://productimages.biltema.com/v1/image/imagebyfilename/38-786_xl_1.jpg,Car Accessories
Engine heater cable,Oil-resistant RDO cable. Plastic-clad plug and around the connection socket. Can only be combined with Biltema's engine and cabin heating systems as follows: Connector Cable 40-202 or 40-203.2.5 m,89.90,https://productimages.biltema.com/v1/image/imagebyfilename/40-200_xl_1.jpg,Car Accessories
"Engine heater cable compatible with Calix, 2.5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",129,https://productimages.biltema.com/v1/image/imagebyfilename/40-653_xl_1.jpg,Car Accessories
"Engine heater cable compatible with Calix, 5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",169,https://productimages.biltema.com/v1/image/imagebyfilename/40-653_xl_1.jpg,Car Accessories
"Engine heater cable compatible with Calix, 5 m","Biltema's connection cable is made in Sweden from oil-resistant RDO. The cable can withstand temperatures down to -40 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",169,https://productimages.biltema.com/v1/image/imagebyfilename/40-213_xl_1.jpg,Car Accessories
"Engine heater cable compatible with DEFA, 2,5 m","Biltema's connection cable is made in EU from oil-resistant RDO. The cable can withstand temperatures down to -50 °C.Cable for connection between a car device inlet and electrical outlet. Regularly check the earth connection all the way from the earthed outlet to the car body, cabin socket, and engine heater. Also check the connection cable regularly to ensure that it is not damaged or worn.NOTE!A damaged cable must be discarded immediately.Store the connection cable indoors when not in use.The connection cable must not be placed on the ground when not connected to the vehicle.Close the protective cover on the connector when not in use.Do not let the cable lie on the ground when connected.The connection cable must not be repaired or modified.The connection cable may only be connected to an earthed socket.The plug is IP44 rated.The connection cable must not be used to charge electric-hybrid batteries – it is only designed for engine heating systems",129,https://productimages.biltema.com/v1/image/imagebyfilename/40-650_xl_1.jpg,Car Accessories
