Make,Model,Price,ModelYear,FuelType,Reg,Kilometers,GearType,HorsePower
VW,ID.3,210000,2022,El,2022,48000,A,204
VW,e-Golf VII,169900,2020,El,2020,55000,A,136
VW,e-Up!,129900,2021,El,2021,34000,A,83
VW,ID.5,289900,2023,El,2022,55000,A,204
VW,ID.Buzz,414800,2023,El,2023,8000,A,204
VW,ID.3,189900,2021,El,2020,33130,A,204
VW,ID.4,349800,2022,El,2022,14000,A,299
VW,e-Up!,127900,2021,El,2020,39000,A,83
VW,ID.3,207780,2021,El,2020,62000,A,204
VW,e-Golf VII,99300,2015,El,2014,91000,A,115
VW,e-Golf VII,139700,2019,El,2019,39000,A,136
VW,e-Up!,134800,2021,El,2021,33000,A,83
VW,ID.5,319900,2023,El,2023,14000,A,204
VW,ID.4,419500,2023,El,2023,6000,A,204
VW,ID.7,546900,2024,El,2024,8000,A,286
VW,ID.3,184900,2021,El,2020,55000,A,204
VW,e-Up!,127900,2021,El,2021,39000,A,82
VW,ID.4,354900,2023,El,2023,5000,A,204
VW,ID.3,199800,2021,El,2021,30000,A,204
VW,ID.5,309900,2022,El,2022,21000,A,204
VW,ID.7,518990,2024,El,2024,6000,A,286
VW,ID.3,329900,2023,El,2023,10000,A,204
VW,ID.4,405900,2023,El,2023,18000,A,299
VW,ID.Buzz,479900,2023,El,2022,9000,A,204
VW,ID.4,239900,2022,El,2022,17000,A,148
VW,ID.3,219500,2021,El,2021,45000,A,204
VW,ID.4,339900,2022,El,2021,10000,A,204
VW,ID.4,419900,2023,El,2023,15000,A,299
VW,ID.Buzz,479900,2023,El,2022,14000,A,204
VW,ID.5,324995,2022,El,2022,41000,A,204
VW,ID.7,519900,2024,El,2023,5000,A,286
VW,ID.4,389900,2024,El,2023,6000,A,286
VW,ID.4,349800,2021,El,2021,26500,A,299
VW,ID.Buzz,479900,2023,El,2022,3000,A,204
VW,ID.3,189900,2021,El,2021,75000,A,204
VW,e-Up!,129800,2021,El,2020,18000,A,83
VW,ID.4,299900,2023,El,2022,2000,A,204
VW,ID.5,329900,2023,El,2023,13000,A,204
VW,ID.5,359900,2023,El,2022,22000,A,204
VW,e-Golf VII,128900,2018,El,2017,98000,A,136
VW,e-Golf VII,144300,2020,El,2020,24000,A,136
VW,ID.4,339900,2023,El,2022,32000,A,299
VW,ID.4,294780,2021,El,2021,38000,A,299
VW,ID.3,279500,2023,El,2023,21500,A,204
VW,e-Golf VII,149500,2020,El,2020,41000,A,136
VW,e-Up!,169900,2023,El,2023,2500,A,83
VW,ID.3,244900,2023,El,2023,10000,A,204
VW,ID.4,274500,2021,El,2020,28000,A,204
VW,ID.3,259900,2023,El,2023,10000,A,204
VW,ID.Buzz,464900,2023,El,2022,7000,A,204
VW,ID.4,322500,2023,El,2023,12000,A,204
VW,e-Up!,124900,2020,El,2020,25000,A,83
VW,e-Golf VII,129900,2017,El,2017,58000,A,115
VW,e-Up!,124900,2020,El,2020,19000,A,83
VW,ID.5,354000,2022,El,2022,10000,A,299
VW,ID.4,279500,2022,El,2021,14500,A,204
VW,ID.Buzz,409900,2023,El,2023,12000,A,204
VW,ID.7,509900,2024,El,2023,5000,A,286
VW,ID.4,319000,2023,El,2023,35000,A,299
VW,ID.5,419900,2024,El,2023,10000,A,299
VW,ID.4,334000,2021,El,2021,38000,A,299
VW,e-Up!,149900,2022,El,2021,25000,A,83
VW,ID.4,419500,2023,El,2023,9000,A,299
VW,ID.3,184900,2021,El,2021,5000,A,150
VW,ID.5,349900,2023,El,2023,16000,A,204
VW,ID.Buzz,399900,2023,El,2023,50,A,204
VW,ID.4,324800,2022,El,2021,30000,A,204
VW,ID.4,364900,2024,El,2024,2500,A,286
VW,ID.3,321900,2024,El,-,(ny bil),A,204
VW,ID.3,339995,2024,El,-,(ny bil),A,204
VW,ID.3,309995,2024,El,-,(ny bil),A,204
VW,ID.3,324900,2024,El,-,(ny bil),A,204
VW,ID.4,309900,2023,El,2023,23000,A,204
VW,e-Up!,159800,2022,El,2021,2000,A,83
VW,e-Up!,149800,2022,El,2021,15000,A,83
VW,ID.4,289900,2021,El,2021,64000,A,204
VW,ID.4,234400,2022,El,2022,30000,A,148
VW,ID.4,214400,2022,El,2022,30000,A,148
VW,ID.Buzz,399850,2023,El,2023,20000,A,204
VW,e-Golf VII,129800,2020,El,2020,70000,A,136
VW,ID.3,212500,2021,El,2020,14800,A,204
VW,ID.4,329900,2022,El,2021,39000,A,299
VW,e-Up!,137900,2022,El,2021,34000,A,83
VW,ID.3,319900,2024,El,2024,5000,A,204
VW,e-Up!,169900,2023,El,2023,4000,A,83
VW,e-Up!,169900,2023,El,2023,2000,A,83
VW,ID.5,329900,2023,El,2023,10000,A,204
VW,ID.4,274900,2021,El,2020,29000,A,204
VW,ID.Buzz,414500,2023,El,2023,5000,A,204
VW,ID.4,314780,2022,El,2021,22000,A,204
VW,ID.5,409800,2023,El,2022,25000,A,204
VW,ID.4,259900,2021,El,2021,63000,A,204
VW,ID.3,209800,2020,El,2020,25000,A,204
VW,ID.4,349900,2022,El,2021,23000,A,204
VW,ID.3,189900,2020,El,2020,36000,A,204
VW,ID.3,264700,2023,El,2023,5000,A,204
VW,ID.5,414900,2023,El,2023,4000,A,299
VW,ID.4,269900,2022,El,2022,52500,A,204
VW,ID.3,229780,2021,El,2020,30000,A,204
VW,e-Up!,119500,2021,El,2021,55500,A,83
VW,ID.5,485000,2023,El,2023,18000,A,299
VW,ID.3,189900,2021,El,2020,37961,A,204
VW,ID.5,419700,2023,El,2023,4000,A,299
VW,ID.4,297000,2023,El,2022,54000,A,204
VW,ID.4,259800,2022,El,2022,44000,A,204
VW,e-Up!,84900,2014,El,2014,62000,A,82
VW,ID.3,214780,2021,El,2020,45000,A,204
VW,ID.4,279800,2021,El,2021,86803,A,204
VW,ID.3,214780,2021,El,2020,44000,A,204
VW,ID.4,327700,2023,El,2023,8000,A,204
VW,ID.3,249800,2022,El,2022,13400,A,204
VW,e-Up!,139800,2022,El,2021,20000,A,83
VW,e-Golf VII,159900,2020,El,2020,49000,A,136
VW,e-Up!,69990,2013,El,2013,104000,A,82
VW,ID.3,219780,2021,El,2020,32000,A,204
VW,ID.3,259900,2023,El,2022,12000,A,204
VW,ID.3,189900,2020,El,2020,21000,A,204
VW,ID.3,314900,2024,El,2024,10000,A,204
VW,ID.4,348900,2023,El,2023,18000,A,299
VW,ID.3,214900,2021,El,2020,40000,A,150
VW,ID.4,284900,2021,El,2021,26000,A,204
VW,e-Up!,119999,2020,El,2020,29000,A,82
VW,ID.3,244400,2023,El,2023,24000,A,204
VW,ID.3,234800,2023,El,2023,12685,A,204
VW,ID.Buzz,384800,2023,El,2023,5000,A,204
VW,ID.5,379900,2022,El,2022,11000,A,299
VW,ID.5,409900,2024,El,2024,5000,A,286
VW,ID.3,199900,2022,El,2021,27500,A,150
VW,ID.3,248900,2023,El,2022,14000,A,204
VW,ID.4,389900,2024,El,2024,1000,A,286
VW,e-Up!,124900,2020,El,2020,26000,A,83
VW,ID.3,264900,2021,El,2021,43000,A,204
VW,e-Up!,89000,2018,El,2017,71000,A,82
VW,e-Golf VII,159800,2021,El,2020,20578,A,136
VW,ID.3,189800,2021,El,2021,34000,A,150
VW,e-Up!,117500,2020,El,2020,38400,A,82
VW,e-Up!,129900,2021,El,2021,25000,A,83
VW,ID.5,314900,2022,El,2022,30000,A,204
VW,ID.Buzz,475000,2023,El,2022,3000,A,204
VW,ID.4,329900,2022,El,2021,61000,A,204
VW,ID.5,358800,2023,El,2023,13000,A,299
VW,ID.5,319900,2022,El,2022,7500,A,204
VW,ID.4,299900,2023,El,2023,47000,A,204
VW,ID.3,219900,2021,El,2020,31500,A,204
VW,ID.3,229900,2021,El,2021,72000,A,150
VW,e-Up!,114900,2018,El,2018,8900,A,82
VW,ID.3,314900,2023,El,2023,11000,A,204
VW,ID.4,309900,2021,El,2021,54000,A,204
VW,ID.3,199900,2020,El,2020,47000,A,204
VW,ID.4,264900,2021,El,2021,54000,A,204
VW,ID.4,289800,2021,El,2021,62000,A,204
VW,e-Up!,124999,2021,El,2021,24000,A,83
VW,ID.3,187700,2021,El,2020,30000,A,204
VW,ID.3,229700,2021,El,2021,31000,A,204
VW,ID.4,249900,2021,El,2021,80000,A,204
VW,ID.5,344900,2023,El,2022,19800,A,204
VW,ID.3,254800,2021,El,2020,32000,A,204
VW,ID.3,229900,2021,El,2021,23000,A,204
VW,ID.4,299700,2022,El,2022,24000,A,204
VW,ID.Buzz,519700,2023,El,2023,7000,A,204
VW,ID.3,239899,2023,El,2023,14000,A,204
VW,ID.4,259900,2021,El,2021,50000,A,204
VW,ID.3,244800,2021,El,2021,27000,A,204
VW,ID.4,269900,2021,El,2021,60000,A,204
VW,ID.4,269900,2022,El,2021,68000,A,204
VW,e-Up!,169900,2022,El,2021,1000,A,83
VW,e-Up!,129500,2021,El,2021,38000,A,83
VW,e-Up!,127500,2021,El,2021,32000,A,83
VW,ID.4,344900,2021,El,2021,41000,A,299
VW,e-Up!,134900,2021,El,2021,8700,A,83
VW,ID.4,304900,2022,El,2022,24000,A,204
VW,ID.3,189900,2021,El,2020,25000,A,204
VW,e-Golf VII,174900,2020,El,2020,35000,A,136
VW,ID.4,389900,2024,El,2024,11000,A,286
VW,ID.4,309900,2022,El,2022,15000,A,204
VW,ID.3,209900,2021,El,2020,18000,A,204
VW,ID.4,329900,2023,El,2023,19000,A,204
VW,ID.3,184900,2020,El,2020,45000,A,204
VW,ID.3,189900,2020,El,2020,21200,A,204
VW,ID.4,339900,2023,El,2023,9000,A,204
VW,ID.4,319900,2023,El,2022,25000,A,204
VW,ID.3,179900,2020,El,2020,88000,A,204
VW,ID.3,179900,2020,El,2020,50000,A,204
VW,e-Up!,124500,2021,El,2021,21000,A,83
VW,ID.3,224800,2021,El,2021,31000,A,204
VW,ID.5,329900,2023,El,2023,6700,A,204
VW,ID.5,329900,2023,El,2023,50,A,204
VW,ID.5,329900,2023,El,2023,50,A,204
VW,ID.5,329900,2023,El,2023,50,A,204
VW,ID.5,329900,2023,El,2023,50,A,204
VW,ID.4,244900,2021,El,2021,81000,A,204
VW,e-Up!,127500,2020,El,2020,8000,A,83
VW,ID.3,188800,2021,El,2020,29000,A,204
VW,ID.4,344900,2023,El,2023,4000,A,204
VW,ID.3,187700,2020,El,2020,51000,A,204
VW,ID.4,369800,2023,El,2023,0,A,299
VW,ID.4,369800,2023,El,2023,0,A,299
VW,ID.5,319900,2022,El,2022,24000,A,204
VW,ID.4,339700,2023,El,2023,16000,A,204
VW,ID.3,229800,2021,El,2021,25000,A,204
VW,ID.3,319900,2023,El,2023,6000,A,204
VW,ID.4,289900,2023,El,2023,5000,A,174
VW,e-Up!,144700,2021,El,2021,7000,A,82
VW,ID.4,289900,2023,El,2023,7000,A,174
VW,ID.4,289900,2022,El,2022,53000,A,204
VW,ID.3,219500,2021,El,2020,23000,A,204
VW,ID.4,244800,2022,El,2022,29000,A,170
VW,ID.3,209900,2020,El,2020,20000,A,204
VW,ID.5,360000,2024,El,2024,2000,A,286
VW,ID.7,499900,2024,El,2023,9000,A,286
VW,e-Up!,169900,2023,El,2023,1000,A,83
VW,ID.4,349900,2023,El,2022,13000,A,204
VW,e-Up!,169900,2023,El,2023,1500,A,83
VW,ID.3,214700,2020,El,2020,61000,A,204
VW,ID.3,184900,2020,El,2020,46000,A,204
VW,ID.3,199800,2021,El,2021,79000,A,204
VW,ID.4,329900,2021,El,2021,20000,A,299
VW,e-Golf VII,139600,2020,El,2020,45000,A,136
VW,ID.3,299900,2023,El,2023,25000,A,204
VW,ID.5,339700,2022,El,2022,12000,A,174
VW,e-Golf VII,159900,2020,El,2020,25000,A,136
VW,ID.4,269900,2021,El,2021,32000,A,204
VW,ID.3,189900,2021,El,2021,34000,A,150
VW,ID.7,519900,2024,El,2023,4000,A,286
VW,e-Up!,124900,2021,El,2021,35000,A,83
VW,ID.4,329500,2023,El,2023,11000,A,204
VW,ID.3,209900,2020,El,2020,15000,A,204
VW,ID.7,566390,2024,El,2024,6000,A,286
VW,ID.Buzz,474900,2022,El,2022,16000,A,204
VW,ID.7,499900,2024,El,2023,4000,A,286
VW,ID.4,399800,2023,El,2023,14000,A,299
VW,e-Golf VII,134900,2019,El,2019,47610,A,136
VW,ID.4,304700,2023,El,2023,12000,A,204
VW,ID.3,224990,2021,El,2021,21000,A,204
VW,ID.4,319900,2023,El,2023,20000,A,204
VW,ID.4,319900,2023,El,2022,15000,A,204
VW,e-Golf VII,149900,2020,El,2020,49000,A,136
VW,ID.3,194900,2021,El,2021,41000,A,204
VW,ID.3,259800,2022,El,2022,18000,A,204
VW,ID.3,259800,2022,El,2022,14000,A,204
VW,ID.3,189900,2021,El,2020,28000,A,204
VW,ID.7,469800,2024,El,2023,900,A,286
VW,ID.4,309999,2022,El,2021,37000,A,204
VW,ID.5,379900,2023,El,2022,12000,A,204
VW,ID.3,224900,2021,El,2021,22000,A,204
VW,e-Golf VII,159700,2020,El,2020,11800,A,136
VW,ID.3,269800,2023,El,2023,1600,A,204
VW,ID.4,289999,2022,El,2022,56000,A,204
VW,ID.3,194999,2021,El,2020,45000,A,204
VW,ID.3,269800,2023,El,2023,8000,A,204
VW,ID.4,314900,2023,El,2022,24000,A,204
VW,ID.4,379900,2022,El,2021,17000,A,299
VW,ID.5,399900,2023,El,2024,10000,A,204
VW,ID.4,349900,2021,El,2021,7000,A,204
VW,ID.3,214900,2021,El,2020,44000,A,204
VW,ID.4,259000,2021,El,2021,106000,A,204
VW,ID.3,194900,2020,El,2020,23000,A,204
VW,ID.4,249900,2021,El,2021,15000,A,170
VW,ID.4,419800,2023,El,2023,2000,A,299
VW,ID.4,234700,2021,El,2021,12000,A,148
VW,ID.Buzz,409800,2023,El,2023,35000,A,204
VW,e-Up!,130000,2021,El,2020,18950,A,83
VW,ID.4,279500,2022,El,2022,57600,A,204
VW,ID.5,369900,2023,El,2023,18000,A,204
VW,e-Up!,124999,2021,El,2020,18000,A,83
VW,ID.5,389500,2023,El,2023,6000,A,204
VW,ID.4,419078,2024,El,-,(ny bil) 1,A,286
VW,ID.5,399900,2024,El,2024,(ny bil) 1,A,286
VW,ID.3,209900,2021,El,2021,23000,A,150
VW,ID.4,329900,2021,El,2020,24000,A,204
VW,ID.4,214900,2022,El,2021,38000,A,170
VW,ID.4,269500,2022,El,2021,41100,A,204
VW,ID.5,349900,2023,El,2023,15000,A,299
VW,ID.5,429800,2023,El,2023,0,A,299
VW,ID.Buzz,419900,2023,El,2023,6000,A,204
VW,ID.4,354800,2021,El,2021,22000,A,299
VW,e-Up!,129800,2020,El,2021,21000,A,83
VW,ID.Buzz,419900,2023,El,2023,22000,A,204
VW,ID.4,359800,2022,El,2022,19000,A,299
VW,ID.4,399900,2022,El,2022,18000,A,299
VW,ID.Buzz,419800,2023,El,2022,11904,A,204
VW,ID.4,324900,2023,El,2023,7885,A,204
VW,ID.4,234900,2022,El,2021,10000,A,148
VW,ID.5,319900,2023,El,2023,9500,A,204
VW,ID.Buzz,529900,2023,El,2023,6000,A,204
VW,ID.7,439900,2024,El,2023,2000,A,286
VW,e-Up!,139800,2022,El,2021,25000,A,83
VW,ID.3,199800,2021,El,2021,73000,A,204
VW,ID.5,429800,2023,El,2023,50,A,299
VW,ID.4,329900,2023,El,2023,15000,A,204
VW,ID.4,324700,2023,El,2023,12000,A,204
VW,ID.4,369000,2023,El,2023,9000,A,299
VW,ID.3,224900,2020,El,2020,31000,A,204
VW,ID.5,314900,2022,El,2022,14000,A,204
VW,ID.7,529900,2024,El,2023,3000,A,286
VW,ID.Buzz,499900,2023,El,2023,12000,A,204
VW,e-Up!,169700,2021,El,2021,(ny bil),A,83
VW,ID.3,214800,2021,El,2020,37000,A,204
VW,ID.3,194900,2021,El,2020,33000,A,204
VW,ID.3,339900,2023,El,2023,6500,A,204
VW,ID.3,214900,2021,El,2020,31000,A,204
VW,ID.3,262700,2023,El,2023,8000,A,204
VW,ID.4,279900,2021,El,2021,36000,A,204
VW,ID.3,214900,2021,El,2020,34000,A,204
VW,ID.4,214900,2021,El,2021,20000,A,148
VW,ID.3,199900,2021,El,2020,41000,A,204
VW,ID.3,219900,2021,El,2020,15000,A,204
VW,ID.4,307700,2023,El,2023,11000,A,204
VW,ID.5,374795,2024,El,2024,(ny bil),A,286
VW,ID.3,329900,2023,El,2023,3000,A,204
VW,ID.4,312700,2023,El,2023,6000,A,204
VW,ID.4,279900,2021,El,2021,46000,A,204
VW,e-Up!,129800,2021,El,2021,33000,A,83
VW,ID.3,224900,2021,El,2020,31000,A,204
VW,ID.3,199900,2021,El,2021,41000,A,204
VW,ID.4,384900,2023,El,2023,2000,A,299
VW,ID.4,299900,2021,El,2021,34000,A,204
VW,ID.3,214900,2021,El,2020,25000,A,204
VW,ID.5,369800,2023,El,2023,9000,A,204
VW,ID.5,357900,2023,El,2022,13000,A,204
VW,ID.4,289900,2023,El,2023,8000,A,174
VW,ID.3,219900,2020,El,2020,55000,A,204
VW,ID.3,229900,2023,El,2023,20000,A,204
VW,ID.5,319900,2023,El,2023,15000,A,204
VW,ID.3,198900,2021,El,2020,28000,A,204
VW,ID.3,214900,2021,El,2020,30000,A,204
VW,ID.4,299995,2022,El,2022,25000,A,299
VW,ID.3,274900,2023,El,2023,7000,A,204
VW,e-Up!,169900,2023,El,2023,12000,A,83
VW,ID.3,198900,2021,El,2020,31000,A,204
VW,ID.3,229500,2021,El,2020,22000,A,204
VW,ID.4,294999,2022,El,2021,42000,A,204
VW,ID.3,224900,2021,El,2020,23000,A,204
VW,ID.4,224900,2021,El,2021,23000,A,170
VW,e-Golf VII,154900,2020,El,2020,36000,A,136
VW,ID.4,289999,2021,El,2021,56000,A,204
VW,ID.3,314900,2023,El,2023,9000,A,204
VW,ID.3,199900,2021,El,2020,53000,A,204
VW,ID.4,449700,2023,El,2023,18000,A,299
VW,e-Up!,129999,2021,El,2021,20000,A,83
VW,e-Up!,129900,2020,El,2020,16000,A,83
VW,ID.4,259700,2021,El,2021,43000,A,204
VW,ID.7,469900,2024,El,2023,2000,A,286
VW,ID.3,219900,2021,El,2020,20000,A,204
VW,ID.3,209700,2020,El,2020,71000,A,204
VW,ID.5,369800,2022,El,2022,32000,A,299
VW,ID.4,304999,2023,El,2023,14000,A,204
VW,ID.3,210000,2020,El,2020,60000,A,204
VW,ID.3,199800,2020,El,2020,32000,A,204
VW,ID.4,284999,2021,El,2021,49000,A,204
VW,ID.3,309900,2024,El,-,(ny bil),A,204
VW,ID.3,219900,2021,El,2020,29000,A,204
VW,ID.Buzz,479900,2023,El,2022,7000,A,204
VW,e-Up!,134900,2021,El,2020,25000,A,82
VW,ID.4,289900,2023,El,2023,10000,A,174
VW,ID.3,309900,2023,El,2023,9000,A,204
VW,ID.Buzz,469900,2023,El,2023,20000,A,204
VW,ID.3,259800,2023,El,2023,1000,A,204
VW,ID.3,214700,2021,El,2021,17000,A,204
VW,e-Up!,124900,2020,El,2020,17000,A,83
VW,ID.3,189999,2021,El,2020,21000,A,204
VW,ID.3,214900,2021,El,2021,67000,A,204
VW,e-Golf VII,149000,2019,El,2019,50000,A,136
VW,e-Up!,179700,2023,El,2022,20,A,83
VW,ID.5,369900,2023,El,2023,13500,A,204
VW,ID.4,284900,2021,El,2021,40000,A,204
VW,ID.Buzz,449900,2023,El,2023,14000,A,204
VW,ID.3,209900,2021,El,2020,56000,A,204
VW,ID.4,274900,2021,El,2021,29000,A,204
VW,ID.7,446795,2024,El,2024,(ny bil),A,286
VW,ID.3,319900,2023,El,2023,8000,A,204
VW,ID.3,214900,2021,El,2020,44000,A,204
VW,ID.3,234990,2023,El,2023,15000,A,204
VW,ID.3,184900,2020,El,2020,76000,A,204
VW,ID.3,209900,2021,El,2020,44000,A,204
VW,ID.Buzz,409900,2023,El,2023,7400,A,204
VW,ID.3,204900,2021,El,2020,37000,A,204
VW,ID.4,319900,2021,El,2021,57000,A,204
VW,ID.5,309900,2022,El,2022,14000,A,204
VW,ID.4,264900,2021,El,2020,29000,A,204
VW,ID.3,209900,2020,El,2020,50000,A,204
VW,ID.4,274900,2021,El,2021,52000,A,204
VW,ID.5,364000,2022,El,2022,28000,A,299
VW,ID.4,279900,2021,El,2021,100000,A,204
VW,ID.4,468800,2023,El,2023,4000,A,299
VW,ID.3,209900,2021,El,2020,56000,A,204
VW,ID.3,229900,2021,El,2020,18000,A,204
VW,ID.3,224700,2020,El,2020,59000,A,204
VW,ID.Buzz,499000,2023,El,2022,8500,A,204
VW,ID.3,229900,2020,El,2020,18000,A,204
VW,ID.3,194900,2021,El,2020,36000,A,204
VW,ID.4,469900,2023,El,2023,10000,A,299
VW,e-Golf VII,154900,2021,El,2021,14000,A,136
VW,ID.3,219900,2021,El,2020,20000,A,204
VW,ID.4,339000,2022,El,2022,36000,A,299
VW,ID.5,359700,2022,El,2022,36000,A,299
VW,ID.Buzz,536716,2024,El,-,(ny bil),A,204
VW,e-Up!,169900,2023,El,2023,1000,A,83
VW,ID.3,214900,2021,El,2020,18000,A,204
VW,e-Up!,169900,2023,El,2023,1000,A,83
VW,ID.4,299900,2021,El,2021,16000,A,204
VW,ID.3,214900,2021,El,2020,15000,A,204
VW,ID.3,208900,2021,El,2020,35000,A,204
VW,ID.3,219800,2020,El,2020,31000,A,204
VW,ID.3,209900,2021,El,2021,30000,A,204
VW,ID.3,214900,2021,El,2020,11000,A,204
VW,ID.4,364900,2024,El,2024,8000,A,286
VW,ID.3,194900,2021,El,2020,50000,A,204
VW,e-Golf VII,154900,2020,El,2021,25000,A,136
VW,e-Up!,129900,2021,El,2021,26800,A,83
VW,ID.3,204900,2020,El,2020,35000,A,204
VW,ID.3,199900,2020,El,2020,52000,A,204
VW,ID.4,269900,2021,El,2021,49000,A,204
VW,ID.3,199900,2021,El,2021,84000,A,204
VW,ID.Buzz,449900,2023,El,2022,12000,A,204
VW,ID.3,189700,2021,El,2020,24000,A,204
VW,ID.3,204500,2021,El,2020,42000,A,204
VW,ID.4,295000,2021,El,2021,49000,A,204
VW,ID.3,189900,2020,El,2020,26500,A,204
VW,e-Golf VII,144900,2020,El,2020,34700,A,136
VW,ID.4,279900,2021,El,2020,31000,A,204
VW,ID.4,339800,2021,El,2021,21000,A,204
VW,ID.4,299700,2021,El,2021,52000,A,204
VW,e-Golf VII,144800,2020,El,2020,31972,A,136
VW,e-Up!,169900,2023,El,2023,2300,A,83
VW,ID.3,239900,2021,El,2021,17000,A,204
VW,ID.4,339900,2021,El,2020,25000,A,204
VW,e-Up!,134900,2021,El,2021,31000,A,83
VW,ID.Buzz,419900,2023,El,2023,7700,A,204
VW,ID.3,208900,2021,El,2020,48221,A,204
VW,ID.5,324900,2023,El,2023,6000,A,204
VW,ID.4,284995,2022,El,2022,24000,A,204
VW,ID.4,377900,2024,El,2024,3000,A,286
VW,ID.Buzz,479900,2023,El,2022,8000,A,204
VW,ID.3,222800,2020,El,2020,29000,A,204
VW,ID.4,334700,2022,El,2022,56000,A,299
VW,ID.7,499900,2024,El,2023,8000,A,286
VW,ID.4,254000,2022,El,2022,11000,A,170
VW,ID.Buzz,399900,2023,El,2023,12000,A,204
VW,ID.4,359900,2023,El,2023,200,A,299
VW,ID.Buzz,469900,2023,El,2022,13000,A,204
VW,ID.7,474900,2024,El,2024,4000,A,286
VW,ID.4,349900,2022,El,2022,15000,A,299
VW,ID.5,349500,2023,El,2023,15000,A,204
VW,ID.5,289900,2022,El,2022,63000,A,204
VW,ID.3,194999,2021,El,2020,55000,A,204
VW,e-Golf VII,159900,2020,El,2021,13000,A,136
VW,ID.4,289900,2021,El,2021,63000,A,204
VW,ID.4,274900,2022,El,2022,32000,A,204
VW,ID.4,319800,2021,El,2020,14000,A,204
VW,ID.5,349900,2022,El,2022,12000,A,204
VW,ID.4,289900,2023,El,2023,5200,A,174
VW,ID.4,319900,2021,El,2021,40000,A,204
VW,e-Up!,99800,2018,El,2017,67000,A,82
VW,ID.5,364500,2022,El,2022,25000,A,204
VW,ID.4,284900,2021,El,2021,35000,A,204
VW,ID.3,224900,2021,El,2020,25500,A,204
VW,ID.3,219900,2021,El,2020,33000,A,204
VW,ID.4,329900,2021,El,2021,8000,A,204
VW,ID.3,239900,2021,El,2021,32500,A,204
VW,ID.4,234900,2022,El,2022,16000,A,148
VW,ID.4,239900,2022,El,2022,19000,A,148
VW,e-Golf VII,159900,2020,El,2021,41000,A,136
VW,ID.3,224800,2020,El,2020,6500,A,204
VW,ID.3,214900,2021,El,2021,17000,A,204
VW,ID.3,189700,2020,El,2020,32000,A,204
VW,ID.3,204900,2020,El,2020,38000,A,204
VW,ID.3,239900,2021,El,2021,31500,A,204
VW,ID.4,287900,2021,El,2021,57000,A,204
VW,ID.5,344900,2023,El,2023,25000,A,204
VW,ID.3,179800,2021,El,2021,36000,A,150
VW,ID.3,199900,2021,El,2021,20000,A,150
VW,ID.3,179780,2021,El,2021,45000,A,204
VW,e-Up!,134900,2022,El,2021,17800,A,83
VW,ID.3,209900,2021,El,2020,35000,A,145
VW,ID.5,339900,2023,El,2023,14500,A,174
